"","School","Apps.IS","IS.II","IS.Accepted","IS.enrolled","Apps.OOS","OOS.II","OOS.Accepted","OOS.enrolled","Total.apps","TOTAL.II","total.accepted","Total.enrolled","post.II...A","IS...post.II.A","OOS...post.II.A","A...rate","OOS.II.OOS.applicants","Public.Private","OOS.IS.matriculants","Median.MCAT","Median.GPA","class.size","X..of.students.OOS","apply.OOS.to.public.state.school.","IS_A","OOS_A","IS_A.OOS_A","State"
"78","Augusta University (MCG)",1273,537,360,236,1495,47,14,4,2768,584,374,240,64,67.04,29.79,13.51,3.14,"Public",2,513,3.82,230,1.74,"No",28.2796543597801,0.936454849498328,30.1986309056223,"GA"
"79","Hackensack Meridian",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"80","University of Hawaii",300,185,72,67,1876,121,29,10,2176,306,101,77,33,38.92,23.97,4.64,6.45,"Public",13,513,3.84,72,13.89,"No",24,1.54584221748401,15.5255172413793,"HI"
"81","University of Louisville",513,313,199,119,4128,162,96,40,4641,475,295,159,62.1,63.58,59.26,6.36,3.92,"Public",25,509,3.77,162,24.69,"No",38.7914230019493,2.32558139534884,16.6803118908382,"KY"
"82","University of New Mexico",239,210,109,90,1483,40,14,7,1722,250,123,97,49.2,51.9,35,7.14,2.7,"Public",7,505,3.8,103,6.8,"No",45.6066945606695,0.944032366824005,48.3105200239091,"NM"
"83","Virginia Tech",737,61,27,12,3562,219,73,36,4299,280,100,48,35.7,44.26,33.33,2.33,6.15,"Public",75,512,3.57,48,75,NA,3.66350067842605,2.04941044357103,1.78758759130871,"VA"
"84","Saint Louis University",384,70,44,22,5527,1024,552,161,5911,1094,596,183,54.5,62.86,53.91,10.08,18.53,"Private",88,514,3.91,183,87.98,"Yes",11.4583333333333,9.98733490139316,1.14728638285024,"MO"
"85","Missouri-Columbia",560,324,154,109,2509,82,40,19,3069,406,194,128,47.8,47.53,48.78,6.32,3.27,"Public",15,509,3.86,112,16.96,"No",27.5,1.59426066161817,17.249375,"MO"
"86","West Virginia University",212,112,74,61,4841,499,91,51,5053,611,165,112,27,66.07,18.24,3.27,10.31,"Public",46,509,3.88,112,45.54,"Yes",34.9056603773585,1.87977690559802,18.5690441633838,"WV"
"87","Drexel University",962,416,233,74,10670,1209,589,193,11632,1625,822,267,50.6,56.01,48.72,7.07,11.33,"Private",72,512,3.75,256,75.39,"Yes",24.2203742203742,5.52014995313964,4.38762976114419,"PA"
"88","Michigan State University",1653,370,192,135,4742,122,71,55,6395,492,263,190,53.5,51.89,58.2,4.11,2.57,"Public",29,509,3.76,190,28.95,"No",11.6152450090744,1.49725854070013,7.75767490606068,"MI"
"89","SUNY Upstate",2066,543,335,141,2305,177,78,19,4371,720,413,160,57.4,61.69,44.07,9.45,7.68,"Public",12,513,3.77,170,25,"No",16.21490803485,3.38394793926247,4.7917132077345,"NY"
"90","Missouri-Kansas",372,151,107,81,1226,278,99,46,1598,429,206,127,48,70.86,35.61,12.89,22.68,"Public",36,509,3.89,127,36.22,NA,28.7634408602151,8.07504078303426,3.56201802975997,"MO"
"91","NYU Long Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"92","Geisinger Commonwealth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"93","University of Nevada (Reno)",343,267,83,64,1300,76,18,6,1643,343,101,70,29.4,31.09,23.68,6.15,5.85,"Public",9,509,3.82,70,8.57,NA,24.198250728863,1.38461538461538,17.4765144152899,"NV"
